pair,baseline,after,delta_test_mde_m,delta_test_medde_m,delta_acc5_pp,delta_acc10_pp
ft245,finetune_runs/resnet50_20260314_205259,finetune_runs/resnet50_20260314_205402,-0.6891025345680699,-1.3290358374146098,8.333333333333336,2.7777777777777715
ft1272,finetune_photos_runs/resnet50_20260315_170940,finetune_photos_runs/resnet50_20260315_171307,-1.5284717723930292,-1.6044047407513764,10.000000000000007,6.3157894736842195
