run,epochs_ran,best_val_loss,best_val_loss_epoch,best_val_mde,best_val_mde_epoch,best_val_medde,best_val_medde_epoch,best_val_acc5,best_val_acc5_epoch,last_val_loss,last_val_mde,last_val_medde,last_val_acc5,n_test,test_mde,test_medde,acc5,acc10,acc20,acc50,min_err,max_err
resnet50_20260305_2009,100,0.007958,88.0,16.1384,88.0,10.0927,95.0,22.51,70.0,0.007992,16.2869,10.5319,22.08,231,14.064000690279133,10.580185535742556,17.316017316017316,47.18614718614719,79.22077922077922,97.40259740259741,1.3246559740389054,77.51430032245881
efficientnet_b0_20260306_2115,72,0.007609,60.0,15.9226,67.0,11.1858,68.0,19.48,72.0,0.008143,17.2739,12.602,19.48,231,17.59402169743152,14.098082131841345,12.987012987012985,35.4978354978355,73.16017316017316,95.67099567099568,1.3246559800697912,138.332005829208
convnext_tiny_20260307_1319,59,0.006935,47.0,15.0818,47.0,11.2023,52.0,19.05,54.0,0.007206,15.517,11.9901,16.45,231,15.871961216407616,11.49260501481059,17.316017316017316,42.857142857142854,76.19047619047619,94.8051948051948,0.420530392903651,116.73747117751984
finetune_runs/resnet50_20260314_205259,0,,,,,,,,,,,,,36,10.758246058271808,5.806595093739196,44.44444444444444,63.888888888888886,86.11111111111111,97.22222222222221,0.4246501573909494,77.51430032245881
finetune_runs/resnet50_20260314_205402,12,0.005562,9.0,11.447,7.0,4.138,9.0,55.56,7.0,0.005813,12.1263,4.6986,52.78,36,10.069143523703739,4.477559256324586,52.77777777777778,66.66666666666666,88.88888888888889,97.22222222222221,0.3629923315658616,70.5897303080159
finetune_photos_runs/resnet50_20260315_170940,0,,,,,,,,,,,,,190,9.170448164233095,5.647811503938634,45.26315789473684,74.21052631578947,88.94736842105263,98.94736842105263,0.3629923829186556,80.80334037271369
finetune_photos_runs/resnet50_20260315_171307,5,0.001856,5.0,6.1147,5.0,3.8904,5.0,58.95,5.0,0.001856,6.1147,3.8904,58.95,190,7.641976391840066,4.0434067631872574,55.26315789473685,80.52631578947368,91.05263157894737,98.94736842105263,0.4205293163995279,71.53358513046217
